ID,SpeakerNr,SpeechRate,NrofNuclei,NrofSafe,SpeechTime,TotNuclDur,TotInternuclDur,TotPauseDur,PropPhon,PropPause,F0MedianHz,F0MedianInST,F0MeanHz,F0MeanInST,F0StdevHz,PitchMeanST,PitchStdevST,PitchRange,PitchTopST,PitchBottomST,PitchTopHz,PitchBottomHz,RawF0_p02,RawF0_p25,RawF0_p50,RawF0_p75,RawF0_p98,RawF0_mean,PropLevel,Gliss,Rises,Falls,TrajIntra,TrajInter,TrajPhon,TrajIntraZ,TrajInterZ,TrajPhonZ,NuclDurMean,NuclDurStdev,nPVI_nucldur,nPVI_voweldur,nPVI_sylldur,NuclDurMedian
SPC07,1,5.786,659,659,175.074,40.035,73.86,61.179,65.06,34.94,256,96.0,268,96.8,59.965,96.52,3.745,14.2,104.2,90.0,412.1,181.0,181,222,256,307,412,268,93.2,4.4,2.4,2.1,5.46,20.97,15.51,1.46,5.6,4.14,0.0608,0.0312,45.27,37.29,0,0.055
BRE07,1,5.1,550,550,179.483,43.345,64.49,71.648,60.08,39.92,288,98.0,291,98.2,52.922,97.97,3.105,11.8,103.7,91.9,399.0,201.5,202,251,288,326,399,291,91.1,2.7,1.5,1.3,3.98,13.96,9.95,1.28,4.5,3.2,0.0788,0.0416,51.57,43.61,0,0.07
LDV09,1,5.801,579,579,176.83,31.765,68.05,77.015,56.45,43.55,128,84.0,138,85.3,36.083,84.87,3.943,16.2,94.8,78.7,239.0,94.0,94,114,128,153,239,138,90.7,6.9,5.0,1.9,9.96,19.46,16.44,2.53,4.93,4.17,0.0549,0.0299,48.9,41.87,0,0.045
ALS08,1,6.007,742,742,178.493,42.31,81.218,54.965,69.21,30.79,251,95.7,256,96.0,49.294,95.78,3.104,14.0,102.8,88.8,379.8,169.2,169,224,251,281,380,256,90.6,7.1,4.6,2.6,10.02,19.28,16.11,3.23,6.21,5.19,0.057,0.0278,43.51,33.42,0,0.05
BRE02,1,5.769,586,586,177.684,36.655,64.915,76.114,57.16,42.84,244,95.2,258,96.1,55.269,95.81,3.428,13.3,103.6,90.4,398.0,184.9,185,218,244,286,398,258,89.4,5.1,3.4,1.7,7.49,20.68,15.92,2.19,6.03,4.64,0.0626,0.0367,50.92,44.83,0,0.0525
UCA04,1,6.531,612,612,168.274,29.865,63.835,74.574,55.68,44.32,248,95.4,261,96.4,68.124,95.98,4.188,16.8,105.3,88.5,438.0,166.0,166,212,248,294,438,261,90.0,7.7,6.4,1.3,12.02,21.61,18.56,2.87,5.16,4.43,0.0488,0.0279,48.1,41.31,0,0.04
GRE13,1,6.036,584,584,181.446,31.265,65.495,84.686,53.33,46.67,121,83.0,127,83.9,27.063,83.59,3.423,13.8,91.5,77.7,197.3,89.0,89,108,121,141,197,127,94.2,2.7,2.2,0.7,4.67,21.67,16.18,1.37,6.33,4.73,0.0535,0.0339,50.01,44.22,0,0.045
SPC10,1,6.057,628,628,170.285,32.415,71.275,66.595,60.89,39.11,173,89.2,180,89.9,40.581,89.63,3.731,14.9,97.7,82.8,282.4,119.6,120,151,173,204,282,180,93.5,4.9,2.9,2.1,7.0,22.78,17.84,1.88,6.1,4.78,0.0516,0.0231,45.77,37.44,0,0.05
BOD06,1,5.956,605,605,172.895,32.43,69.15,71.315,58.75,41.25,210,92.6,220,93.4,39.94,93.19,2.986,11.6,99.7,88.2,317.3,162.7,163,190,210,245,317,220,94.2,2.6,2.1,0.5,4.49,18.47,14.01,1.5,6.19,4.69,0.0536,0.0255,46.96,39.68,0,0.05
GRE04,1,6.824,411,411,175.869,21.075,39.155,115.639,34.25,65.75,129,84.1,135,85.0,33.296,84.55,3.996,15.7,93.4,77.7,220.0,89.0,89,111,129,153,220,135,93.9,3.4,2.2,1.2,6.37,24.46,18.13,1.59,6.12,4.54,0.0513,0.0376,53.62,51.63,0,0.04
